id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
376519,31,SavedShot,0.97,0.324000015,116.4,25.9200012,0.022525609,Danny Ings,a,986,OpenPlay,2020,Head,14087,Crystal Palace,Southampton,1,0,9/12/2020 14:00,,None,31
376523,55,BlockedShot,0.866999969,0.572999992,104.0399963,45.83999936,0.067831382,Danny Ings,a,986,OpenPlay,2020,RightFoot,14087,Crystal Palace,Southampton,1,0,9/12/2020 14:00,Ryan Bertrand,HeadPass,55
376530,94,SavedShot,0.913000031,0.475,109.5600037,38,0.3524279,Danny Ings,a,986,OpenPlay,2020,Head,14087,Crystal Palace,Southampton,1,0,9/12/2020 14:00,Kyle Walker-Peters,Cross,94
377884,31,Goal,0.925999985,0.317999992,111.1199982,25.43999936,0.056798305,Danny Ings,h,986,OpenPlay,2020,RightFoot,14100,Southampton,Tottenham,2,5,9/20/2020 11:00,Kyle Walker-Peters,Chipped,31
377900,89,Goal,0.885,0.5,106.2,40,0.761168838,Danny Ings,h,986,Penalty,2020,RightFoot,14100,Southampton,Tottenham,2,5,9/20/2020 11:00,,Standard,89
379105,4,Goal,0.906999969,0.430999985,108.8399963,34.4799988,0.420690656,Danny Ings,a,986,OpenPlay,2020,RightFoot,14109,Burnley,Southampton,0,1,9/26/2020 19:00,Che Adams,Pass,4
380954,26,SavedShot,0.876999969,0.405999985,105.2399963,32.4799988,0.029951267,Danny Ings,h,986,SetPiece,2020,Head,14473,Southampton,West Bromwich Albion,2,0,10/4/2020 11:00,James Ward-Prowse,Cross,26
380957,38,MissedShots,0.788000031,0.799000015,94.56000372,63.9200012,0.013049487,Danny Ings,h,986,OpenPlay,2020,RightFoot,14473,Southampton,West Bromwich Albion,2,0,10/4/2020 11:00,Ryan Bertrand,BallTouch,38
381887,4,BlockedShot,0.823000031,0.663000031,98.76000372,53.04000248,0.035704799,Danny Ings,a,986,OpenPlay,2020,RightFoot,14475,Chelsea,Southampton,3,3,10/17/2020 14:00,Theo Walcott,Pass,4
381898,42,Goal,0.910999985,0.487999992,109.3199982,39.03999936,0.420910567,Danny Ings,a,986,OpenPlay,2020,RightFoot,14475,Chelsea,Southampton,3,3,10/17/2020 14:00,Che Adams,Throughball,42
381899,53,MissedShots,0.793000031,0.457999992,95.16000372,36.63999936,0.036770005,Danny Ings,a,986,OpenPlay,2020,RightFoot,14475,Chelsea,Southampton,3,3,10/17/2020 14:00,Jan Bednarek,Pass,53
381906,80,SavedShot,0.873000031,0.394000015,104.7600037,31.5200012,0.080168918,Danny Ings,a,986,OpenPlay,2020,RightFoot,14475,Chelsea,Southampton,3,3,10/17/2020 14:00,Theo Walcott,Pass,80
383927,86,MissedShots,0.831999969,0.639000015,99.83999628,51.1200012,0.04475861,Danny Ings,h,986,FromCorner,2020,RightFoot,14492,Southampton,Everton,2,0,10/25/2020 14:00,James Ward-Prowse,Pass,86
384945,2,MissedShots,0.93,0.555,111.6,44.4,0.09648934,Danny Ings,a,986,FromCorner,2020,Head,14495,Aston Villa,Southampton,3,4,11/1/2020 12:00,James Ward-Prowse,Cross,2
384958,57,Goal,0.81,0.684000015,97.2,54.7200012,0.044343524,Danny Ings,a,986,OpenPlay,2020,RightFoot,14495,Aston Villa,Southampton,3,4,11/1/2020 12:00,Stuart Armstrong,Pass,57
391159,62,SavedShot,0.89,0.397999992,106.8,31.83999936,0.023236141,Danny Ings,a,986,FromCorner,2020,Head,14536,Brighton,Southampton,1,2,12/7/2020 20:00,Stuart Armstrong,Cross,62
391163,80,Goal,0.885,0.5,106.2,40,0.761168838,Danny Ings,a,986,Penalty,2020,RightFoot,14536,Brighton,Southampton,1,2,12/7/2020 20:00,,Standard,80
391914,15,SavedShot,0.909000015,0.585,109.0800018,46.8,0.389667392,Danny Ings,h,986,OpenPlay,2020,RightFoot,14551,Southampton,Sheffield United,3,0,12/13/2020 12:00,Che Adams,Throughball,15
391917,23,BlockedShot,0.904000015,0.605,108.4800018,48.4,0.08683154,Danny Ings,h,986,OpenPlay,2020,LeftFoot,14551,Southampton,Sheffield United,3,0,12/13/2020 12:00,,Rebound,23
391916,23,BlockedShot,0.841999969,0.625,101.0399963,50,0.051842194,Danny Ings,h,986,OpenPlay,2020,RightFoot,14551,Southampton,Sheffield United,3,0,12/13/2020 12:00,Che Adams,Chipped,23
391923,58,MissedShots,0.85,0.550999985,102,44.0799988,0.087371811,Danny Ings,h,986,OpenPlay,2020,RightFoot,14551,Southampton,Sheffield United,3,0,12/13/2020 12:00,,None,58
391927,73,SavedShot,0.919000015,0.59,110.2800018,47.2,0.380018681,Danny Ings,h,986,OpenPlay,2020,LeftFoot,14551,Southampton,Sheffield United,3,0,12/13/2020 12:00,Che Adams,Chipped,73
393073,46,MissedShots,0.743000031,0.494000015,89.16000372,39.5200012,0.029169837,Danny Ings,a,986,OpenPlay,2020,RightFoot,14555,Arsenal,Southampton,1,1,12/16/2020 18:00,,TakeOn,46
393984,19,BlockedShot,0.855,0.617999992,102.6,49.43999936,0.066527396,Danny Ings,h,986,OpenPlay,2020,RightFoot,14572,Southampton,Manchester City,0,1,12/19/2020 15:00,Oriol Romeu,Pass,19
393987,26,MissedShots,0.924000015,0.475,110.8800018,38,0.061154056,Danny Ings,h,986,OpenPlay,2020,Head,14572,Southampton,Manchester City,0,1,12/19/2020 15:00,Theo Walcott,Pass,26
