id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
427514,0,SavedShot,0.724000015,0.709000015,87,57,0.034322314,James Ward-Prowse,h,843,DirectFreekick,2021,RightFoot,16392,Southampton,Manchester United,1,1,8/22/2021 13:00,,Standard,0
427536,78,SavedShot,0.71,0.385,85,31,0.03775138,James Ward-Prowse,h,843,DirectFreekick,2021,RightFoot,16392,Southampton,Manchester United,1,1,8/22/2021 13:00,,Standard,78
428732,13,MissedShots,0.755999985,0.415999985,91,33,0.018373435,James Ward-Prowse,a,843,OpenPlay,2021,LeftFoot,16397,Newcastle United,Southampton,2,2,8/28/2021 14:00,Valentino Livramento,Pass,13
428739,38,SavedShot,0.871999969,0.854000015,105,68,0.044584934,James Ward-Prowse,a,843,DirectFreekick,2021,RightFoot,16397,Newcastle United,Southampton,2,2,8/28/2021 14:00,,Standard,38
428756,81,BlockedShot,0.813000031,0.420999985,98,34,0.042836368,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16397,Newcastle United,Southampton,2,2,8/28/2021 14:00,Mohamed Elyounoussi,Pass,81
428757,88,MissedShots,0.750999985,0.5,90,40,0.019594874,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16397,Newcastle United,Southampton,2,2,8/28/2021 14:00,Valentino Livramento,Pass,88
428760,95,Goal,0.885,0.5,106,40,0.761168838,James Ward-Prowse,a,843,Penalty,2021,RightFoot,16397,Newcastle United,Southampton,2,2,8/28/2021 14:00,,Standard,95
434101,69,SavedShot,0.729000015,0.778000031,87,62,0.029541405,James Ward-Prowse,h,843,DirectFreekick,2021,RightFoot,16433,Southampton,Wolverhampton Wanderers,0,1,9/26/2021 13:00,,Standard,69
434882,20,MissedShots,0.765999985,0.535999985,92,43,0.021903161,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16438,Chelsea,Southampton,3,1,10/2/2021 14:00,Theo Walcott,Pass,20
434891,60,Goal,0.885,0.5,106,40,0.761168838,James Ward-Prowse,a,843,Penalty,2021,RightFoot,16438,Chelsea,Southampton,3,1,10/2/2021 14:00,,Standard,60
440767,33,SavedShot,0.766999969,0.427000008,92,34,0.03318892,James Ward-Prowse,h,843,OpenPlay,2021,RightFoot,16484,Southampton,Aston Villa,1,0,11/5/2021 20:00,Stuart Armstrong,Pass,33
442642,14,SavedShot,0.835,0.625999985,100,50,0.039144471,James Ward-Prowse,a,843,OpenPlay,2021,LeftFoot,16492,Norwich,Southampton,2,1,11/20/2021 15:00,,Rebound,14
442650,39,MissedShots,0.716999969,0.569000015,86,46,0.014875995,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16492,Norwich,Southampton,2,1,11/20/2021 15:00,,BallRecovery,39
446177,52,MissedShots,0.866999969,0.895999985,104,72,0.035330929,James Ward-Prowse,h,843,DirectFreekick,2021,RightFoot,16521,Southampton,Brighton,1,1,12/4/2021 15:00,,Standard,52
446185,99,BlockedShot,0.785999985,0.404000015,94,32,0.026224326,James Ward-Prowse,h,843,OpenPlay,2021,RightFoot,16521,Southampton,Brighton,1,1,12/4/2021 15:00,Valentino Livramento,Pass,99
447731,12,SavedShot,0.719000015,0.425,86,34,0.04368658,James Ward-Prowse,a,843,DirectFreekick,2021,RightFoot,16526,Arsenal,Southampton,3,0,12/11/2021 15:00,,Standard,12
447732,17,MissedShots,0.819000015,0.729000015,98,58,0.067724988,James Ward-Prowse,a,843,DirectFreekick,2021,RightFoot,16526,Arsenal,Southampton,3,0,12/11/2021 15:00,,Standard,17
447736,45,BlockedShot,0.804000015,0.759000015,96,61,0.05189871,James Ward-Prowse,a,843,DirectFreekick,2021,RightFoot,16526,Arsenal,Southampton,3,0,12/11/2021 15:00,,Standard,45
449088,31,Goal,0.736999969,0.527000008,88,42,0.05550779,James Ward-Prowse,a,843,DirectFreekick,2021,RightFoot,16542,Crystal Palace,Southampton,2,2,12/15/2021 19:30,,Standard,31
449090,37,BlockedShot,0.784000015,0.354000015,94,28,0.035844326,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16542,Crystal Palace,Southampton,2,2,12/15/2021 19:30,,None,37
449091,40,MissedShots,0.798000031,0.630999985,96,50,0.03591625,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16542,Crystal Palace,Southampton,2,2,12/15/2021 19:30,Kyle Walker-Peters,Pass,40
449100,74,BlockedShot,0.795,0.612000008,95,49,0.033187352,James Ward-Prowse,a,843,OpenPlay,2021,RightFoot,16542,Crystal Palace,Southampton,2,2,12/15/2021 19:30,,None,74
450637,60,Goal,0.885,0.5,106,40,0.761168838,James Ward-Prowse,a,843,Penalty,2021,RightFoot,16564,West Ham,Southampton,2,3,12/26/2021 15:00,,Standard,60
450723,24,Goal,0.856999969,0.645999985,103,52,0.053774595,James Ward-Prowse,h,843,OpenPlay,2021,RightFoot,16575,Southampton,Tottenham,1,1,12/28/2021 15:00,,None,24
