id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
376944,2,SavedShot,0.771999969,0.703000031,93,56,0.0191379,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14093,Tottenham,Everton,0,1,9/13/2020 15:30,Harry Kane,Pass,2
376947,25,BlockedShot,0.9,0.716999969,108,57,0.033409711,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14093,Tottenham,Everton,0,1,9/13/2020 15:30,Dele Alli,HeadPass,25
377887,46,Goal,0.856999969,0.512999992,103,41,0.411376685,Son Heung-Min,a,453,OpenPlay,2020,LeftFoot,14100,Southampton,Tottenham,2,5,9/20/2020 11:00,Harry Kane,TakeOn,46
377885,46,Goal,0.929000015,0.32,111,26,0.093986474,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14100,Southampton,Tottenham,2,5,9/20/2020 11:00,Harry Kane,Pass,46
377892,63,Goal,0.890999985,0.402999992,107,32,0.305005401,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14100,Southampton,Tottenham,2,5,9/20/2020 11:00,Harry Kane,Chipped,63
377894,72,Goal,0.951999969,0.557000008,114,45,0.538229108,Son Heung-Min,a,453,OpenPlay,2020,LeftFoot,14100,Southampton,Tottenham,2,5,9/20/2020 11:00,Harry Kane,Cross,72
379410,29,ShotOnPost,0.771999969,0.397000008,93,32,0.034574077,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14111,Tottenham,Newcastle United,1,1,9/27/2020 13:00,Harry Kane,Pass,29
379415,41,ShotOnPost,0.785999985,0.569000015,94,46,0.035653565,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14111,Tottenham,Newcastle United,1,1,9/27/2020 13:00,Matt Doherty,HeadPass,41
381357,6,Goal,0.913000031,0.625,110,50,0.29423365,Son Heung-Min,a,453,SetPiece,2020,LeftFoot,14471,Manchester United,Tottenham,1,6,10/4/2020 15:30,Harry Kane,Pass,6
381369,36,Goal,0.97,0.407000008,116,33,0.142935336,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14471,Manchester United,Tottenham,1,6,10/4/2020 15:30,Serge Aurier,Pass,36
382650,0,Goal,0.859000015,0.612999992,103,49,0.061016202,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14483,Tottenham,West Ham,3,3,10/18/2020 15:30,Harry Kane,Chipped,0
382656,34,SavedShot,0.955,0.480999985,115,38,0.598654509,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14483,Tottenham,West Ham,3,3,10/18/2020 15:30,Serge Aurier,Cross,34
384278,73,BlockedShot,0.896999969,0.39,108,31,0.103208274,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14488,Burnley,Tottenham,0,1,10/26/2020 20:00,Tanguy NDombele Alvaro,Pass,73
384281,75,Goal,0.956999969,0.550999985,115,44,0.387568623,Son Heung-Min,a,453,FromCorner,2020,Head,14488,Burnley,Tottenham,0,1,10/26/2020 20:00,Harry Kane,Rebound,75
385409,19,MissedShots,0.803000031,0.709000015,96,57,0.031925403,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14503,Tottenham,Brighton,2,1,11/1/2020 19:15,,BallRecovery,19
386338,12,BlockedShot,0.889000015,0.427000008,107,34,0.362159997,Son Heung-Min,a,453,OpenPlay,2020,LeftFoot,14513,West Bromwich Albion,Tottenham,0,1,11/8/2020 12:00,Tanguy NDombele Alvaro,Pass,12
386352,62,SavedShot,0.848000031,0.72,102,58,0.030036751,Son Heung-Min,a,453,OpenPlay,2020,LeftFoot,14513,West Bromwich Albion,Tottenham,0,1,11/8/2020 12:00,Harry Kane,Pass,62
386362,82,BlockedShot,0.789000015,0.725999985,95,58,0.020159623,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14513,West Bromwich Albion,Tottenham,0,1,11/8/2020 12:00,Harry Kane,Pass,82
387534,4,Goal,0.815,0.590999985,98,47,0.287468135,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14523,Tottenham,Manchester City,2,0,11/21/2020 17:30,Tanguy NDombele Alvaro,Chipped,4
387550,58,BlockedShot,0.821999969,0.464000015,99,37,0.069674522,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14523,Tottenham,Manchester City,2,0,11/21/2020 17:30,,None,58
390926,12,Goal,0.765999985,0.714000015,92,57,0.019218277,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14542,Tottenham,Arsenal,2,0,12/6/2020 16:30,Harry Kane,Pass,12
392178,8,MissedShots,0.949000015,0.350999985,114,28,0.115752004,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14545,Crystal Palace,Tottenham,1,1,12/13/2020 14:15,Toby Alderweireld,Throughball,8
393456,32,Goal,0.871999969,0.575999985,105,46,0.348165601,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14563,Liverpool,Tottenham,2,1,12/16/2020 20:00,Giovani Lo Celso,Throughball,32
394591,70,BlockedShot,0.84,0.719000015,101,58,0.011632348,Son Heung-Min,h,453,FromCorner,2020,RightFoot,14573,Tottenham,Leicester,0,2,12/20/2020 14:15,Pierre-Emile H������������������������,HeadPass,70
