id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
426431,27,BlockedShot,0.905999985,0.420999985,109,34,0.124467291,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16385,Tottenham,Manchester City,1,0,8/15/2021 15:30,Steven Bergwijn,Pass,27
426434,39,MissedShots,0.811999969,0.542000008,97,43,0.075522967,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16385,Tottenham,Manchester City,1,0,8/15/2021 15:30,Lucas Moura,Pass,39
426436,41,MissedShots,0.800999985,0.347999992,96,28,0.019126309,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16385,Tottenham,Manchester City,1,0,8/15/2021 15:30,Lucas Moura,HeadPass,41
426444,54,Goal,0.805999985,0.324000015,97,26,0.027829401,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16385,Tottenham,Manchester City,1,0,8/15/2021 15:30,Steven Bergwijn,Pass,54
426452,78,BlockedShot,0.781999969,0.449000015,94,36,0.026767267,Son Heung-Min,h,453,SetPiece,2021,RightFoot,16385,Tottenham,Manchester City,1,0,8/15/2021 15:30,Pierre-Emile H������������,Pass,78
427558,64,BlockedShot,0.850999985,0.462999992,102,37,0.091090806,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16393,Wolverhampton Wanderers,Tottenham,0,1,8/22/2021 13:00,Steven Bergwijn,Pass,64
427557,64,SavedShot,0.898000031,0.372999992,108,30,0.085900985,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16393,Wolverhampton Wanderers,Tottenham,0,1,8/22/2021 13:00,,Rebound,64
429071,32,MissedShots,0.854000015,0.680999985,102,54,0.044658266,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16404,Tottenham,Watford,1,0,8/29/2021 13:00,Sergio Reguil�������,Pass,32
429073,41,Goal,0.801999969,0.905,96,72,0.027735658,Son Heung-Min,h,453,DirectFreekick,2021,RightFoot,16404,Tottenham,Watford,1,0,8/29/2021 13:00,,Standard,41
429077,58,SavedShot,0.78,0.690999985,94,55,0.016452946,Son Heung-Min,h,453,SetPiece,2021,RightFoot,16404,Tottenham,Watford,1,0,8/29/2021 13:00,,Dispossessed,58
431968,1,BlockedShot,0.783000031,0.703000031,94,56,0.019431753,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16425,Tottenham,Chelsea,0,3,9/19/2021 15:30,Tanguy NDombele Alvaro,Pass,1
431979,32,SavedShot,0.91,0.425,109,34,0.414592624,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16425,Tottenham,Chelsea,0,3,9/19/2021 15:30,Giovani Lo Celso,Pass,32
434201,21,SavedShot,0.931999969,0.709000015,112,57,0.091141328,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16434,Arsenal,Tottenham,3,1,9/26/2021 15:30,,BallRecovery,21
434216,78,Goal,0.91,0.53,109,42,0.29918772,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16434,Arsenal,Tottenham,3,1,9/26/2021 15:30,Sergio Reguil�������,Cross,78
435332,17,BlockedShot,0.885,0.392000008,106,31,0.094014965,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16443,Tottenham,Aston Villa,2,1,10/3/2021 13:00,Lucas Moura,Pass,17
435335,23,MissedShots,0.765,0.522000008,92,42,0.028086869,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16443,Tottenham,Aston Villa,2,1,10/3/2021 13:00,Lucas Moura,Pass,23
435347,52,MissedShots,0.885999985,0.629000015,106,50,0.05862866,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16443,Tottenham,Aston Villa,2,1,10/3/2021 13:00,Emerson,Cross,52
435348,55,MissedShots,0.753000031,0.607999992,90,49,0.02657898,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16443,Tottenham,Aston Villa,2,1,10/3/2021 13:00,,None,55
435350,59,SavedShot,0.969000015,0.577999992,116,46,0.338122457,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16443,Tottenham,Aston Villa,2,1,10/3/2021 13:00,Eric Dier,Chipped,59
437028,48,Goal,0.965,0.545,116,44,0.682993591,Son Heung-Min,a,453,OpenPlay,2021,LeftFoot,16452,Newcastle United,Tottenham,2,3,10/17/2021 15:30,Harry Kane,Pass,48
438244,24,SavedShot,0.895999985,0.355,108,28,0.321816593,Son Heung-Min,a,453,OpenPlay,2021,RightFoot,16465,West Ham,Tottenham,1,0,10/24/2021 13:00,Tanguy NDombele Alvaro,Throughball,24
439890,5,BlockedShot,0.765,0.312000008,92,25,0.014818065,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16473,Tottenham,Manchester United,0,3,10/30/2021 16:30,,None,5
439896,23,MissedShots,0.959000015,0.587999992,115,47,0.350670904,Son Heung-Min,h,453,SetPiece,2021,RightFoot,16473,Tottenham,Manchester United,0,3,10/30/2021 16:30,Lucas Moura,Chipped,23
439905,46,MissedShots,0.81,0.525,97,42,0.056648962,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16473,Tottenham,Manchester United,0,3,10/30/2021 16:30,Lucas Moura,Pass,46
443386,50,MissedShots,0.939000015,0.312000008,113,25,0.051376689,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16493,Tottenham,Leeds,2,1,11/21/2021 16:30,Lucas Moura,Chipped,50
443402,79,MissedShots,0.719000015,0.480999985,86,38,0.01860212,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16493,Tottenham,Leeds,2,1,11/21/2021 16:30,,None,79
445748,35,SavedShot,0.794000015,0.584000015,95,47,0.057574894,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16515,Tottenham,Brentford,2,0,12/2/2021 19:30,Pierre-Emile H������������,BallRecovery,35
445758,64,Goal,0.950999985,0.475,114,38,0.782133877,Son Heung-Min,h,453,OpenPlay,2021,RightFoot,16515,Tottenham,Brentford,2,0,12/2/2021 19:30,Sergio Reguil�������,Pass,64
446734,28,MissedShots,0.811999969,0.648000031,97,52,0.046096947,Son Heung-Min,h,453,OpenPlay,2021,LeftFoot,16522,Tottenham,Norwich,3,0,12/5/2021 14:00,Lucas Moura,Pass,28
