id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
382667,72,SavedShot,0.715999985,0.334000015,85.9199982,26.7200012,0.035884041,Gareth Bale,h,2251,DirectFreekick,2020,LeftFoot,14483,Tottenham,West Ham,3,3,10/18/2020 15:30,,Standard,72
382672,91,MissedShots,0.869000015,0.425,104.2800018,34,0.292918384,Gareth Bale,h,2251,OpenPlay,2020,LeftFoot,14483,Tottenham,West Ham,3,3,10/18/2020 15:30,Harry Kane,TakeOn,91
385416,70,MissedShots,0.926999969,0.499000015,111.2399963,39.9200012,0.1149427,Gareth Bale,h,2251,FromCorner,2020,Head,14503,Tottenham,Brighton,2,1,11/1/2020 19:15,Giovani Lo Celso,Cross,70
385418,72,Goal,0.91,0.557999992,109.2,44.63999936,0.283498645,Gareth Bale,h,2251,OpenPlay,2020,Head,14503,Tottenham,Brighton,2,1,11/1/2020 19:15,Sergio Reguil���������,Cross,72
386346,49,MissedShots,0.911999969,0.537000008,109.4399963,42.96000064,0.109021299,Gareth Bale,a,2251,OpenPlay,2020,LeftFoot,14513,West Bromwich Albion,Tottenham,0,1,11/8/2020 12:00,Harry Kane,Cross,49
386348,57,BlockedShot,0.861999969,0.449000015,103.4399963,35.9200012,0.019231081,Gareth Bale,a,2251,OpenPlay,2020,Head,14513,West Bromwich Albion,Tottenham,0,1,11/8/2020 12:00,Matt Doherty,Cross,57
394592,72,MissedShots,0.714000015,0.352999992,85.6800018,28.23999936,0.036783963,Gareth Bale,h,2251,DirectFreekick,2020,LeftFoot,14573,Tottenham,Leicester,0,2,12/20/2020 14:15,,Standard,72
404429,80,SavedShot,0.845,0.527000008,101.4,42.16000064,0.16657868,Gareth Bale,a,2251,OpenPlay,2020,LeftFoot,14671,Manchester City,Tottenham,3,0,2/13/2021 17:30,,TakeOn,80
404428,80,BlockedShot,0.685,0.527999992,82.2,42.23999936,0.008525386,Gareth Bale,a,2251,OpenPlay,2020,LeftFoot,14671,Manchester City,Tottenham,3,0,2/13/2021 17:30,,Aerial,80
405828,61,SavedShot,0.716999969,0.415,86.03999628,33.2,0.011629183,Gareth Bale,a,2251,OpenPlay,2020,LeftFoot,14683,West Ham,Tottenham,2,1,2/21/2021 12:00,,BallRecovery,61
405832,78,ShotOnPost,0.818000031,0.487000008,98.16000372,38.96000064,0.048659299,Gareth Bale,a,2251,OpenPlay,2020,LeftFoot,14683,West Ham,Tottenham,2,1,2/21/2021 12:00,Harry Kane,Pass,78
405833,85,MissedShots,0.9,0.43,108,34.4,0.062288813,Gareth Bale,a,2251,OpenPlay,2020,Head,14683,West Ham,Tottenham,2,1,2/21/2021 12:00,Matt Doherty,Cross,85
407252,1,Goal,0.943000031,0.524000015,113.1600037,41.9200012,0.535212696,Gareth Bale,h,2251,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2/28/2021 14:00,Son Heung-Min,Cross,1
