id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
428066,57,BlockedShot,0.761999969,0.587999992,91,47,0.020187434,James Maddison,a,6818,OpenPlay,2021,RightFoot,16395,West Ham,Leicester,4,1,8/23/2021 19:00,Harvey Barnes,Pass,57
428651,57,MissedShots,0.961999969,0.57,115,46,0.117455266,James Maddison,a,6818,FromCorner,2021,RightFoot,16398,Norwich,Leicester,1,2,8/28/2021 14:00,,None,57
428652,60,MissedShots,0.931999969,0.602999992,112,48,0.089048795,James Maddison,a,6818,FromCorner,2021,RightFoot,16398,Norwich,Leicester,1,2,8/28/2021 14:00,,None,60
431721,11,BlockedShot,0.735999985,0.445,88,36,0.019233098,James Maddison,a,6818,OpenPlay,2021,RightFoot,16423,Brighton,Leicester,2,1,9/19/2021 13:00,Harvey Barnes,Pass,11
435328,73,SavedShot,0.855999985,0.650999985,103,52,0.050258446,James Maddison,a,6818,OpenPlay,2021,LeftFoot,16439,Crystal Palace,Leicester,2,2,10/3/2021 13:00,,None,73
436212,9,SavedShot,0.886999969,0.771999969,106,62,0.027789557,James Maddison,h,6818,OpenPlay,2021,RightFoot,16450,Leicester,Manchester United,4,2,10/16/2021 14:00,Timothy Castagne,Pass,9
436230,53,MissedShots,0.745,0.504000015,89,40,0.014782349,James Maddison,h,6818,SetPiece,2021,RightFoot,16450,Leicester,Manchester United,4,2,10/16/2021 14:00,,Rebound,53
436229,53,BlockedShot,0.736999969,0.505,88,40,0.055930782,James Maddison,h,6818,DirectFreekick,2021,RightFoot,16450,Leicester,Manchester United,4,2,10/16/2021 14:00,,Standard,53
438192,16,MissedShots,0.759000015,0.679000015,91,54,0.023835553,James Maddison,a,6818,OpenPlay,2021,RightFoot,16457,Brentford,Leicester,1,2,10/24/2021 13:00,Youri Tielemans,Pass,16
438199,46,SavedShot,0.725,0.499000015,87,40,0.024085416,James Maddison,a,6818,OpenPlay,2021,RightFoot,16457,Brentford,Leicester,1,2,10/24/2021 13:00,Kelechi Iheanacho,Pass,46
438206,72,Goal,0.91,0.575,109,46,0.535517633,James Maddison,a,6818,OpenPlay,2021,RightFoot,16457,Brentford,Leicester,1,2,10/24/2021 13:00,Patson Daka,Pass,72
439384,12,BlockedShot,0.729000015,0.532999992,87,43,0.050612446,James Maddison,h,6818,DirectFreekick,2021,RightFoot,16468,Leicester,Arsenal,0,2,10/30/2021 11:30,,Standard,12
439389,42,SavedShot,0.781999969,0.467000008,94,37,0.09689106,James Maddison,h,6818,DirectFreekick,2021,RightFoot,16468,Leicester,Arsenal,0,2,10/30/2021 11:30,,Standard,42
442277,57,SavedShot,0.764000015,0.252999992,92,20,0.009345616,James Maddison,h,6818,OpenPlay,2021,LeftFoot,16488,Leicester,Chelsea,0,3,11/20/2021 12:30,Marc Albrighton,Pass,57
442284,81,SavedShot,0.73,0.532999992,88,43,0.014137303,James Maddison,h,6818,OpenPlay,2021,LeftFoot,16488,Leicester,Chelsea,0,3,11/20/2021 12:30,Kiernan Dewsbury-Hall,Pass,81
444643,15,Goal,0.885,0.422999992,106,34,0.28276059,James Maddison,h,6818,SetPiece,2021,RightFoot,16502,Leicester,Watford,4,2,11/28/2021 14:00,Jonny Evans,Chipped,15
444655,38,MissedShots,0.941999969,0.313999996,113,25,0.076031588,James Maddison,h,6818,OpenPlay,2021,LeftFoot,16502,Leicester,Watford,4,2,11/28/2021 14:00,Ademola Lookman,Pass,38
