id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
426454,83,SavedShot,0.785999985,0.666999969,94,53,0.023583421,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16385,Tottenham,Manchester City,1,0,8/15/2021 15:30,Jack Grealish,Pass,83
431389,88,BlockedShot,0.825,0.67,99,54,0.036457323,Kevin De Bruyne,h,447,OpenPlay,2021,LeftFoot,16421,Manchester City,Southampton,0,0,9/18/2021 14:00,Riyad Mahrez,Pass,88
433167,30,BlockedShot,0.825999985,0.522000008,99,42,0.073588677,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16426,Chelsea,Manchester City,0,1,9/25/2021 11:30,Kyle Walker,Pass,30
433170,38,MissedShots,0.743000031,0.693000031,89,55,0.013914797,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16426,Chelsea,Manchester City,0,1,9/25/2021 11:30,Jack Grealish,Pass,38
433172,47,BlockedShot,0.794000015,0.545999985,95,44,0.032489121,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16426,Chelsea,Manchester City,0,1,9/25/2021 11:30,Bernardo Silva,Pass,47
433179,67,BlockedShot,0.844000015,0.460999985,101,37,0.084775493,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16426,Chelsea,Manchester City,0,1,9/25/2021 11:30,,None,67
435653,23,MissedShots,0.921999969,0.676999969,111,54,0.12026377,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16441,Liverpool,Manchester City,2,2,10/3/2021 15:30,Jo���������������,Throughball,23
435654,33,MissedShots,0.916999969,0.427000008,110,34,0.082580164,Kevin De Bruyne,a,447,OpenPlay,2021,Head,16441,Liverpool,Manchester City,2,2,10/3/2021 15:30,Phil Foden,Cross,33
435655,37,BlockedShot,0.859000015,0.375,103,30,0.063377902,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16441,Liverpool,Manchester City,2,2,10/3/2021 15:30,Gabriel Jesus,Pass,37
435656,39,BlockedShot,0.86,0.337999992,103,27,0.0603237,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16441,Liverpool,Manchester City,2,2,10/3/2021 15:30,Gabriel Jesus,Pass,39
435664,80,Goal,0.816999969,0.467000008,98,37,0.046750747,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16441,Liverpool,Manchester City,2,2,10/3/2021 15:30,,None,80
436271,69,Goal,0.878000031,0.392999992,105,31,0.09160006,Kevin De Bruyne,h,447,OpenPlay,2021,LeftFoot,16451,Manchester City,Burnley,2,0,10/16/2021 14:00,,None,69
439665,47,BlockedShot,0.89,0.265,107,21,0.032067847,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16470,Manchester City,Crystal Palace,0,2,10/30/2021 14:00,Jack Grealish,Pass,47
440823,6,BlockedShot,0.775,0.38,93,30,0.023203755,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16483,Manchester United,Manchester City,0,2,11/6/2021 12:30,Gabriel Jesus,Pass,6
440828,28,BlockedShot,0.886999969,0.535999985,106,43,0.405555367,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16483,Manchester United,Manchester City,0,2,11/6/2021 12:30,Phil Foden,Pass,28
440832,33,SavedShot,0.903000031,0.327999992,108,26,0.087187529,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16483,Manchester United,Manchester City,0,2,11/6/2021 12:30,Gabriel Jesus,Pass,33
440838,75,MissedShots,0.878000031,0.370999985,105,30,0.04785455,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16483,Manchester United,Manchester City,0,2,11/6/2021 12:30,,Aerial,75
446413,88,MissedShots,0.801999969,0.402000008,96,32,0.055076279,Kevin De Bruyne,a,447,OpenPlay,2021,RightFoot,16523,Watford,Manchester City,1,3,12/4/2021 17:30,Riyad Mahrez,Pass,88
448914,11,BlockedShot,0.803000031,0.507000008,96,41,0.063740686,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Rodri,Pass,11
448918,18,MissedShots,0.955999985,0.415,115,33,0.138213143,Kevin De Bruyne,h,447,OpenPlay,2021,LeftFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Riyad Mahrez,Cross,18
448919,27,SavedShot,0.791999969,0.524000015,95,42,0.04440926,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Phil Foden,Pass,27
448920,31,Goal,0.935,0.674000015,112,54,0.128240332,Kevin De Bruyne,h,447,OpenPlay,2021,LeftFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Rodri,Throughball,31
448923,45,MissedShots,0.818000031,0.610999985,98,49,0.071145661,Kevin De Bruyne,h,447,OpenPlay,2021,LeftFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Phil Foden,Pass,45
448926,49,BlockedShot,0.909000015,0.287999992,109,23,0.065189257,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Rodri,Pass,49
448931,61,Goal,0.751999969,0.494000015,90,40,0.031863183,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Ilkay G������������,Pass,61
448941,87,SavedShot,0.696999969,0.680999985,84,54,0.030368477,Kevin De Bruyne,h,447,DirectFreekick,2021,RightFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,,Standard,87
448945,92,MissedShots,0.790999985,0.547999992,95,44,0.047967762,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16545,Manchester City,Leeds,7,0,12/14/2021 20:00,Riyad Mahrez,Pass,92
449745,50,BlockedShot,0.841999969,0.564000015,101,45,0.104560114,Kevin De Bruyne,a,447,OpenPlay,2021,LeftFoot,16550,Newcastle United,Manchester City,0,4,12/19/2021 14:15,Gabriel Jesus,Pass,50
450592,3,BlockedShot,0.860999985,0.305,103,24,0.034251533,Kevin De Bruyne,h,447,OpenPlay,2021,RightFoot,16560,Manchester City,Leicester,6,3,12/26/2021 15:00,Bernardo Silva,Pass,3
450593,4,Goal,0.859000015,0.440999985,103,35,0.079741977,Kevin De Bruyne,h,447,OpenPlay,2021,LeftFoot,16560,Manchester City,Leicester,6,3,12/26/2021 15:00,Fernandinho,Chipped,4
